PLAYER_ID,name,team,height,weight,age,gp,min_pg,total_min,ppg,ts_pct,fg2_pct,fg2a,fg3_pct,fg3a,on_ball_def_fg_pct,interior_def_fg_pct,perimeter_def_fg_pct,avg_speed,blk,reb,ast,tov,net_off_rating,stl,net_def_rating,combine_max_vertical,combine_lane_agility,charges_drawn,loose_balls_recovered,box_outs
1641726,Dereck Lively II,DAL,85,230,21.0,36,23.1,832.7366666666667,8.7,0.704,0.6981132075471699,5.3,0.0,0.0,0.459,0.556,0.385,4.37,1.6,7.5,2.4,1.1,1.3999999999999915,0.6,-9.699999999999989,,,0.0,0.36,1.67
1627884,Derrick Jones Jr.,LAC,78,210,28.0,77,24.3,1873.3883333333333,10.1,0.609,0.625,4.8,0.356,2.8,0.464,0.707,0.33,4.27,0.4,3.4,0.8,0.9,4.299999999999997,1.0,0.7999999999999972,,,0.0,0.53,0.55
1628401,Derrick White,BOS,76,190,30.0,76,33.9,2573.615,16.4,0.606,0.5999999999999999,3.5,0.384,9.1,0.438,0.583,0.311,4.01,1.1,4.5,4.8,1.7,3.9000000000000057,0.9,0.9000000000000057,36.5,10.84,0.12,0.76,0.12
1630217,Desmond Bane,ORL,77,215,27.0,69,32.0,2205.225,19.2,0.6,0.5402298850574712,8.700000000000001,0.392,6.1,0.434,0.561,0.36,4.46,0.4,6.1,5.3,2.4,0.3999999999999915,1.2,4.5,,,0.0,0.72,0.46
1626164,Devin Booker,PHX,78,206,28.0,75,37.3,2794.9666666666667,25.6,0.589,0.5431034482758621,11.599999999999998,0.332,7.3,0.493,0.62,0.41,4.0,0.2,4.1,7.1,2.9,6.3999999999999915,0.9,6.900000000000006,34.5,10.27,0.03,0.84,0.52
1642269,Devin Carter,SAC,74,195,23.0,36,11.0,395.9433333333333,3.8,0.471,0.4444444444444445,1.8,0.295,1.7,0.526,0.75,0.444,4.57,0.1,2.1,1.1,0.5,-2.5,0.6,-6.200000000000003,42.0,10.63,0.06,0.3,0.06
1630170,Devin Vassell,SAS,77,200,24.0,64,31.0,1983.185,16.3,0.553,0.513888888888889,7.2,0.368,6.7,0.498,0.59,0.418,4.29,0.5,4.0,2.9,1.4,-1.1999999999999886,1.3,5.8999999999999915,,,0.0,0.64,0.14
1628415,Dillon Brooks,HOU,78,225,29.0,75,31.8,2388.2616666666668,14.0,0.555,0.4642857142857142,5.6000000000000005,0.397,6.3,0.468,0.588,0.399,4.02,0.2,3.7,1.7,1.0,-0.7999999999999972,0.8,0.3999999999999915,37.5,11.14,0.05,0.28,0.61
1641794,Dillon Jones,OKC,77,235,23.0,54,10.2,551.4933333333333,2.5,0.464,0.46153846153846156,1.3,0.254,1.2,0.422,0.552,0.337,4.29,0.1,2.2,1.1,0.5,-11.599999999999994,0.3,-3.6999999999999886,33.5,11.08,0.0,0.26,0.32
1627734,Domantas Sabonis,SAC,82,240,29.0,70,34.7,2428.8766666666666,19.1,0.655,0.6226415094339621,10.600000000000001,0.417,2.2,0.499,0.609,0.389,4.2,0.4,13.9,6.0,2.9,4.5,0.7,-0.8999999999999915,,,0.0,0.7,2.99
1631230,Dominick Barlow,ATL,80,215,22.0,35,10.7,374.99833333333333,4.2,0.58,0.6249999999999999,2.4000000000000004,0.259,0.8,0.483,0.585,0.407,4.58,0.5,2.4,0.5,0.1,-3.5,0.3,-2.9000000000000057,34.0,11.29,0.0,0.31,0.22
