PLAYER_ID,name,team,height,weight,age,ppg,ts_pct,on_ball_def_fg_pct,blk,reb,ast,tov,off_rating,stl,def_rating,combine_max_vertical,combine_lane_agility,charges_drawn,loose_balls_recovered,box_outs
1629006,Josh Okogie,CHA,76,213,26.0,7.1,0.567,0.436,0.5,2.8,0.8,0.8,108.8,1.2,109.3,42.0,11.08,0.0,0.62,0.46
1626196,Josh Richardson,MIA,77,200,31.0,4.0,0.402,0.667,0.1,1.5,1.5,1.0,104.1,1.0,114.7,,,0.0,0.13,0.25
201950,Jrue Holiday,BOS,76,205,35.0,11.1,0.565,0.445,0.4,4.3,3.9,1.2,116.6,1.1,107.7,34.0,10.64,0.02,0.73,0.71
1630577,Julian Champagnie,SAS,79,217,24.0,9.9,0.577,0.479,0.4,3.9,1.4,0.9,112.3,0.7,114.5,34.5,11.39,0.0,0.33,0.43
1641763,Julian Phillips,CHI,80,198,21.0,4.6,0.571,0.468,0.3,2.1,0.5,0.3,112.9,0.5,111.1,43.0,11.09,0.0,0.32,0.32
1631124,Julian Strawther,DEN,78,205,23.0,9.0,0.559,0.465,0.2,2.2,1.3,0.9,111.9,0.6,114.4,34.5,10.94,0.0,0.35,0.37
203944,Julius Randle,MIN,81,250,30.0,18.7,0.593,0.46,0.2,7.1,4.7,2.8,115.0,0.7,111.6,35.5,11.45,0.0,0.9,1.26
1630551,Justin Champagnie,WAS,78,206,24.0,8.8,0.614,0.431,0.6,5.7,1.0,0.9,107.1,1.0,116.8,35.0,11.94,0.0,0.44,0.32
1642348,Justin Edwards,PHI,79,203,21.0,10.1,0.559,0.493,0.4,3.4,1.6,1.1,111.6,1.0,123.2,32.5,12.07,0.02,0.49,0.37
1631303,Justin Minaya,POR,77,205,26.0,0.9,0.411,0.521,0.1,0.5,0.4,0.3,95.0,0.3,101.9,,,0.0,0.13,0.13
203994,Jusuf Nurkić,CHA,84,290,30.0,8.9,0.555,0.472,0.7,7.8,2.3,1.9,106.1,0.8,115.1,,,0.0,0.78,1.82
1630231,KJ Martin,UTA,78,215,24.0,6.4,0.618,0.433,0.5,2.9,1.1,0.6,109.3,0.4,117.4,38.5,11.93,0.0,0.41,0.46
1642354,KJ Simpson,CHA,72,189,22.0,7.8,0.437,0.528,0.2,3.0,3.1,1.6,101.0,0.9,116.4,40.5,10.49,0.03,0.5,0.17
1630539,Kai Jones,DAL,83,221,24.0,5.0,0.804,0.478,0.6,3.1,0.6,0.5,107.0,0.4,109.2,,,0.0,0.31,0.29
1626157,Karl-Anthony Towns,NYK,84,248,29.0,24.4,0.63,0.51,0.7,12.8,3.1,2.7,119.4,1.0,112.7,,,0.0,0.64,2.75
1631255,Karlo Matković,NOP,82,231,24.0,7.7,0.639,0.516,1.0,5.0,1.1,1.0,109.4,0.5,114.1,,,0.0,0.48,1.5
