name,team,pctile_min,pctile_ppg,pctile_fg2_pct,pctile_interior_def_fg_pct,pctile_blk,pctile_reb,pctile_ast_minus_tov,pctile_net_off_rating,pctile_fg3m,pctile_perimeter_def_fg_pct,pctile_net_def_rating,pctile_stl,pctile_avg_speed,pctile_loose_balls,pctile_charges,pctile_box_outs
Goga Bitadze,ORL,50.1,29.3,96.5,55.9,96.0,84.9,53.5,76.3,8.0,92.1,55.3,40.9,19.5,33.1,24.0,91.1
Gradey Dick,TOR,56.5,72.5,13.3,12.9,22.4,43.7,17.7,72.3,79.7,18.7,6.1,64.0,92.8,73.7,90.9,25.5
Grayson Allen,PHX,55.5,56.0,41.2,51.2,38.4,29.3,50.1,72.8,86.4,60.5,20.1,52.1,50.4,71.1,58.1,46.9
Guerschon Yabusele,PHI,72.3,58.3,84.9,29.1,38.4,75.3,50.1,93.2,57.6,11.7,34.7,52.1,20.8,64.5,90.9,92.7
Gui Santos,GSW,15.7,6.4,93.3,94.1,22.4,31.5,28.9,88.1,22.9,22.8,76.0,9.5,94.9,49.3,24.0,72.9
Harrison Barnes,SAS,85.6,64.4,79.5,23.2,22.4,49.3,59.3,89.3,74.4,29.6,27.7,18.4,75.2,43.6,50.7,74.3
Haywood Highsmith,MIA,66.9,22.5,54.9,52.4,64.7,39.1,44.7,57.7,48.0,16.7,53.9,64.0,90.7,41.1,24.0,59.9
Herbert Jones,NOP,10.4,54.0,49.9,22.0,64.7,52.3,69.3,74.8,42.4,2.7,94.1,99.5,62.7,47.9,97.6,80.3
Immanuel Quickley,TOR,25.1,80.0,9.6,30.1,7.3,41.7,95.2,52.9,90.1,5.7,70.1,40.9,76.9,23.6,24.0,29.7
Isaac Okoro,CLE,30.7,18.5,80.1,92.8,38.4,16.3,42.7,74.8,37.9,58.0,63.6,29.5,75.2,52.9,73.2,61.3
Isaiah Collier,UTA,68.5,38.8,23.6,3.9,22.4,36.0,92.0,41.1,23.2,15.2,36.8,64.0,38.4,59.2,81.5,3.7
Isaiah Hartenstein,OKC,56.8,60.0,83.7,68.3,92.3,97.6,78.0,49.7,3.5,27.5,41.2,52.1,78.5,62.3,24.0,98.8
Isaiah Joe,OKC,57.9,53.1,64.3,24.1,7.3,19.7,59.3,77.2,90.7,68.4,65.5,29.5,75.2,62.3,98.1,19.7
Isaiah Stewart,DET,50.7,17.9,81.3,95.5,96.0,74.1,42.7,10.7,12.0,58.0,80.1,9.5,19.5,30.7,24.0,92.3
Ivica Zubac,LAC,96.8,78.8,89.9,89.1,92.3,99.2,59.3,96.7,3.5,52.9,73.7,40.9,6.5,45.9,24.0,98.4
Ja Morant,MEM,53.3,92.3,39.5,32.3,22.4,55.9,93.5,52.3,69.1,79.7,73.7,85.7,65.1,69.7,89.7,29.7
Ja'Kobe Walter,TOR,32.8,37.3,6.4,21.5,22.4,31.5,32.1,47.7,50.9,98.4,67.5,52.1,96.4,60.5,86.0,25.5
Jabari Smith Jr.,HOU,61.9,63.6,50.3,79.9,79.7,86.5,5.2,42.7,67.2,27.5,85.9,9.5,29.5,49.3,24.0,77.1
Jabari Walker,POR,14.9,12.9,74.0,65.3,7.3,41.7,5.2,32.0,18.4,90.3,91.5,29.5,25.2,43.6,58.1,55.9
Jaden Hardy,DAL,24.0,38.8,29.3,68.9,7.3,5.9,5.2,11.3,53.1,38.4,76.8,18.4,54.9,62.3,73.2,19.7
Jaden Ivey,DET,23.2,81.2,18.9,89.9,51.6,55.9,53.5,20.7,79.2,21.5,14.8,64.0,67.5,97.6,24.0,43.6
Jaden McDaniels,MIN,96.3,63.6,67.7,76.1,86.3,77.2,44.7,38.4,49.1,43.3,27.2,89.7,65.1,89.1,50.7,46.9
Jae'Sean Tate,HOU,6.1,3.5,41.9,89.9,7.3,14.3,25.6,24.0,14.9,95.6,88.1,18.4,50.4,9.7,96.3,58.8
Jaime Jaquez Jr.,MIA,46.9,37.3,26.5,83.5,22.4,60.5,53.5,16.0,21.6,82.1,12.1,64.0,93.6,68.3,24.0,59.9
Jake LaRavia,SAC,45.3,26.5,36.9,13.3,38.4,52.3,57.3,11.9,35.5,62.9,16.1,64.0,97.9,82.0,24.0,27.3
Jakob Poeltl,TOR,60.8,73.1,91.7,70.9,93.9,95.2,47.9,82.8,7.2,18.7,55.3,85.7,67.5,73.7,58.1,96.0
Jalen Brunson,NYK,89.6,97.6,50.9,18.8,7.3,26.4,98.9,83.6,86.1,51.6,1.1,64.0,38.4,84.0,99.5,35.7
Jalen Duren,DET,77.6,61.6,97.3,37.9,92.3,97.2,56.4,84.8,3.5,31.2,5.1,40.9,40.5,27.2,24.0,97.6
Jalen Green,HOU,97.6,88.7,17.3,48.0,38.4,63.3,47.9,60.3,93.1,27.5,2.1,64.0,46.4,33.1,50.7,8.5
Jalen Johnson,ATL,42.7,84.5,65.1,85.5,89.7,96.0,79.2,36.5,48.8,96.4,87.2,96.3,70.7,69.7,24.0,69.2
Jalen Pickett,DEN,11.7,6.4,26.5,91.3,7.3,3.7,72.8,9.3,32.0,87.3,89.1,9.5,42.3,11.7,24.0,55.9
