name,team,pctile_min,pctile_ppg,pctile_fg2_pct,pctile_interior_def_fg_pct,pctile_blk,pctile_reb,pctile_ast_minus_tov,pctile_net_off_rating,pctile_fg3m,pctile_perimeter_def_fg_pct,pctile_net_def_rating,pctile_stl,pctile_avg_speed,pctile_loose_balls,pctile_charges,pctile_box_outs
Cam Thomas,MIL,19.0,67.5,12.7,2.8,9.4,5.4,46.7,85.3,52.4,6.7,0.8,1.3,37.0,1.5,66.7,3.7
Cameron Johnson,DEN,63.2,61.6,48.7,25.1,55.6,49.7,66.5,93.1,81.0,14.9,50.0,41.3,22.5,67.3,91.5,63.1
Caris LeVert,DET,34.4,29.4,17.1,78.3,79.1,10.6,61.4,2.9,39.2,44.8,44.0,63.5,41.3,56.9,21.6,31.6
Carter Bryant,SAS,14.3,4.6,46.0,97.1,40.7,20.4,12.8,3.2,27.8,28.4,57.0,1.3,72.8,10.3,56.1,31.6
Cason Wallace,OKC,81.5,39.2,29.4,73.0,55.6,33.7,74.1,50.4,54.2,68.0,73.4,98.9,65.2,69.8,21.6,55.7
Cedric Coward,MEM,61.4,68.4,58.5,82.9,55.6,82.3,55.0,85.7,62.2,48.7,88.8,28.3,83.1,99.2,66.7,45.8
Chet Holmgren,OKC,79.4,81.7,88.4,99.7,99.3,95.4,8.6,83.1,52.9,82.8,88.4,28.3,34.9,48.9,46.6,87.6
Christian Braun,DEN,50.3,60.1,93.4,11.6,40.7,65.1,74.1,88.9,38.6,93.5,64.2,41.3,43.1,43.3,21.6,55.7
Clint Capela,HOU,22.5,3.0,46.0,100.0,83.9,63.1,12.8,17.2,2.8,98.5,95.4,16.5,11.6,40.9,46.6,83.1
Coby White,CHA,41.5,82.9,50.8,74.6,9.4,41.1,63.5,83.5,85.4,37.7,41.8,16.5,26.6,54.9,96.8,54.4
Cody Williams,UTA,62.4,40.7,66.7,51.3,55.6,31.5,49.2,33.9,14.3,4.8,21.6,52.1,89.8,54.9,21.6,8.3
Cole Anthony,MIL,1.1,24.6,18.5,19.7,40.7,20.4,70.8,2.5,23.5,7.5,79.5,28.3,85.8,48.9,66.7,2.5
Collin Gillespie,PHX,89.9,64.6,9.4,25.1,24.3,56.6,90.3,78.3,95.0,79.1,67.1,85.7,92.2,98.7,96.8,38.9
Collin Murray-Boyles,TOR,41.3,38.0,85.7,52.1,87.3,68.5,49.2,26.2,11.6,57.1,68.3,63.5,70.5,46.0,56.1,82.3
Collin Sexton,CHI,61.6,76.6,52.4,70.1,9.4,15.5,58.1,54.8,67.5,68.0,78.0,79.9,56.2,53.3,46.6,20.8
Cooper Flagg,DAL,92.3,91.7,31.5,76.1,87.3,85.3,81.7,63.1,42.1,54.5,31.6,85.7,46.2,96.2,21.6,47.6
Corey Kispert,ATL,29.6,43.3,86.9,71.8,24.3,15.5,46.7,4.5,63.5,86.5,2.9,3.8,95.1,35.2,56.1,6.7
Craig Porter Jr.,CLE,33.9,8.3,35.4,73.0,73.8,41.1,84.9,38.6,18.8,41.1,65.6,63.5,85.8,46.0,21.6,15.9
Daeqwon Plowden,SAC,16.1,53.8,93.7,79.6,24.3,31.5,29.6,64.0,77.1,12.2,18.7,41.3,79.1,26.2,66.7,53.4
Dalen Terry,PHI,2.6,2.5,21.8,57.4,40.7,7.4,49.2,5.6,17.2,22.0,97.5,28.3,99.3,30.6,66.7,8.3
Dalton Knecht,LAL,3.2,4.6,89.7,11.1,24.3,2.8,5.8,1.6,26.5,23.8,57.0,1.3,14.8,2.4,80.3,10.6
Daniel Gafford,DAL,38.4,46.4,95.2,88.6,95.0,87.2,5.8,18.0,2.8,76.9,59.0,52.1,61.0,69.8,80.3,89.8
Daniss Jenkins,DET,54.0,44.7,2.2,9.5,24.3,15.5,83.6,15.9,40.2,85.6,62.6,63.5,79.1,82.9,21.6,14.4
Danny Wolf,BKN,38.1,41.4,14.0,78.3,73.8,66.8,51.3,11.1,50.3,89.9,94.4,16.5,58.5,14.9,21.6,67.2
Darius Garland,LAC,46.0,86.2,33.9,23.0,24.3,17.6,93.0,35.2,92.3,44.8,3.7,73.1,26.6,51.3,74.6,6.7
Davion Mitchell,MIA,79.9,44.7,58.7,27.5,24.3,25.4,98.9,86.8,55.3,51.3,38.9,73.1,67.1,60.4,93.9,37.2
Day'Ron Sharpe,BKN,35.4,40.1,95.2,45.6,55.6,85.3,33.9,53.0,9.3,43.5,94.7,79.9,58.5,56.9,21.6,87.3
De'Aaron Fox,SAS,87.0,85.6,74.6,31.7,40.7,49.7,93.7,82.5,73.0,31.5,36.1,85.7,37.0,76.3,66.7,3.7
De'Andre Hunter,SAC,36.8,69.2,33.1,46.6,9.4,56.6,17.6,30.8,68.5,5.6,7.5,41.3,17.2,26.2,21.6,62.2
De'Anthony Melton,GSW,32.3,62.7,23.9,16.8,55.6,35.6,43.5,71.6,60.8,16.9,80.0,97.4,67.1,93.1,21.6,26.9
DeMar DeRozan,SAC,93.9,84.9,41.5,17.5,40.7,29.1,88.2,77.5,22.0,9.1,1.6,73.1,8.2,69.8,80.3,45.8
Dean Wade,CLE,44.2,17.1,89.0,63.9,55.6,58.5,58.1,53.0,50.5,78.0,71.8,41.3,83.1,28.3,21.6,81.2
Deandre Ayton,LAL,77.2,63.8,96.3,68.0,89.9,92.5,0.9,45.4,2.8,68.0,26.7,28.3,5.6,60.4,21.6,82.5
Deni Avdija,POR,85.7,95.4,56.3,73.0,73.8,87.2,89.8,96.6,75.9,9.1,3.4,52.1,29.6,86.6,21.6,41.8
Dennis Schröder,CLE,64.8,53.8,5.3,16.8,24.3,25.4,91.0,21.0,45.5,43.5,20.1,52.1,53.6,46.0,92.6,17.2
Derik Queen,NOP,80.7,57.8,25.9,67.6,87.3,89.0,64.6,62.3,11.1,84.0,5.6,73.1,4.8,38.5,80.3,80.6
Derrick Jones Jr.,LAC,46.3,49.9,79.1,66.8,89.9,43.5,33.9,78.3,46.3,57.1,53.7,63.5,37.0,51.3,21.6,22.9
Derrick White,BOS,97.6,79.5,19.6,93.5,95.0,61.1,92.6,71.0,93.1,74.3,94.0,79.9,21.3,88.8,92.6,20.8
Desmond Bane,ORL,99.5,88.5,49.2,39.9,66.7,56.6,79.5,81.3,81.5,98.1,54.6,73.1,34.9,94.0,56.1,51.6
Devin Booker,PHX,84.7,96.8,28.4,62.7,40.7,51.9,89.0,90.7,76.5,88.4,42.5,52.1,8.7,93.1,66.7,63.9
Devin Carter,SAC,9.3,41.4,27.5,2.1,24.3,38.4,61.4,61.0,29.1,1.6,60.7,63.5,63.6,46.0,21.6,0.3
Devin Vassell,SAS,81.2,70.6,19.0,53.0,55.6,54.2,70.8,94.6,87.8,57.1,34.8,63.5,61.0,46.0,21.6,12.7
Dillon Brooks,PHX,65.1,89.3,17.1,35.3,24.3,46.0,5.8,57.0,84.7,41.1,6.9,73.1,13.6,67.3,56.1,37.2
Domantas Sabonis,SAC,3.4,77.4,73.9,13.6,24.3,98.7,62.4,47.5,10.4,5.2,9.7,63.5,53.6,97.2,21.6,96.8
Dominick Barlow,PHI,63.8,32.4,82.3,95.1,79.1,65.1,22.0,43.5,11.9,31.5,68.3,63.5,91.0,87.6,21.6,45.8
Donovan Clingan,POR,83.1,60.7,82.5,92.6,98.7,99.5,51.3,85.3,45.9,21.0,14.9,28.3,14.3,51.3,46.6,95.0
Donovan Mitchell,CLE,92.1,98.5,70.6,73.0,40.7,62.0,89.8,95.2,97.6,19.6,44.0,95.8,15.7,88.8,21.6,43.7
Donte DiVincenzo,MIN,94.7,61.6,15.1,65.2,55.6,56.6,85.6,86.2,96.0,66.3,76.5,89.6,48.3,94.7,21.6,24.6
Dorian Finney-Smith,HOU,5.3,1.5,57.0,6.7,24.3,20.4,22.0,6.1,27.2,69.6,84.7,8.7,10.3,3.6,21.6,54.4
Drake Powell,BKN,44.7,22.8,48.0,18.9,24.3,7.4,22.0,4.0,30.2,29.6,56.1,28.3,63.6,28.3,21.6,35.2
Draymond Green,GSW,73.3,36.8,68.9,78.3,73.8,76.3,87.7,13.6,63.2,72.1,38.2,63.5,3.3,40.9,87.0,85.2
Drew Eubanks,SAC,2.9,11.1,86.0,62.7,73.8,31.5,2.6,18.0,6.5,41.1,65.6,8.7,71.7,2.0,56.1,75.5
Dru Smith,MIA,33.3,14.6,23.9,52.1,40.7,20.4,75.4,3.7,18.5,78.0,78.4,92.9,94.0,35.2,97.6,31.6
Duncan Robinson,DET,83.6,61.6,65.7,89.2,40.7,25.4,63.5,98.9,94.7,36.6,8.3,28.3,81.5,22.8,89.7,49.7
Dwight Powell,DAL,20.4,1.5,95.2,55.0,40.7,56.6,25.3,66.7,6.5,27.4,85.2,16.5,79.1,51.3,89.7,85.8
Dylan Cardwell,SAC,20.6,12.2,79.9,90.1,96.4,90.7,29.6,35.6,7.7,69.6,99.5,41.3,14.3,65.2,21.6,92.5
Dylan Harper,SAS,59.5,58.9,62.2,76.9,40.7,41.1,86.6,48.3,33.1,78.0,64.8,52.1,56.2,87.0,21.6,3.7
Dyson Daniels,ATL,95.2,59.4,68.3,57.4,55.6,86.2,94.7,97.0,10.8,53.0,60.7,99.6,75.9,99.5,74.6,47.6
Egor Dëmin,BKN,43.7,51.5,1.9,50.3,40.7,35.6,70.8,76.2,87.3,23.1,71.8,52.1,93.1,40.9,84.3,47.6
Elijah Harkless,UTA,2.1,25.4,11.1,4.2,24.3,10.6,76.7,63.1,30.4,53.0,87.6,85.7,17.2,2.8,89.7,46.7
Ethan Thompson,IND,6.9,26.2,5.6,10.3,40.7,13.4,52.8,42.2,49.2,69.6,99.2,28.3,98.7,3.6,92.6,68.1
Evan Mobley,CLE,82.5,84.4,83.5,95.1,98.7,95.9,74.1,55.6,35.8,78.0,68.3,41.3,41.3,69.8,21.6,93.5
Franz Wagner,ORL,27.8,90.5,49.5,68.4,40.7,72.4,70.8,59.7,58.2,6.0,74.3,63.5,88.5,80.2,66.7,69.7
GG Jackson,MEM,37.3,63.8,73.0,34.7,83.9,59.9,5.8,80.3,48.9,33.6,42.5,28.3,58.5,35.2,21.6,10.6
Gabe Vincent,ATL,18.5,6.9,0.5,29.9,9.4,0.5,49.2,44.7,46.6,5.2,18.3,16.5,41.3,38.5,89.7,18.7
Gary Harris,MIL,7.1,0.5,21.8,7.1,24.3,2.2,43.5,9.7,20.0,34.7,69.7,28.3,51.5,12.7,21.6,3.7
Gary Payton II,GSW,33.6,30.7,97.1,47.6,40.7,46.0,49.2,40.6,15.9,29.1,31.6,63.5,99.3,65.2,21.6,26.9
Gary Trent Jr.,MIL,48.7,34.5,7.7,23.5,1.3,0.5,36.4,14.2,75.9,11.1,11.8,16.5,7.0,17.6,21.6,10.6
Giannis Antetokounmpo,MIL,28.8,97.9,92.9,98.7,79.1,96.6,81.7,98.4,14.6,13.9,79.0,63.5,7.0,82.9,21.6,83.1
Goga Bitadze,ORL,24.9,18.3,97.9,96.3,89.9,68.5,36.4,42.2,7.1,23.8,62.6,28.3,41.3,17.6,56.1,91.4
Gradey Dick,TOR,29.1,18.8,34.4,4.0,9.4,9.1,8.6,18.9,26.7,85.6,89.8,28.3,81.5,40.9,80.3,10.6
Grant Williams,CHA,10.1,26.2,67.9,76.1,66.7,51.9,43.5,68.4,59.5,97.6,96.0,16.5,7.0,43.3,96.3,86.2
Grayson Allen,PHX,54.5,79.5,37.6,33.9,40.7,31.5,80.6,61.0,96.8,14.9,17.7,92.9,44.4,74.2,21.6,12.7
Guerschon Yabusele,CHI,27.0,14.6,21.8,44.6,24.3,43.5,17.6,15.2,40.9,80.6,30.2,8.7,50.1,30.6,66.7,76.2
Gui Santos,GSW,50.0,43.3,93.9,12.8,40.7,51.9,45.5,41.3,48.4,32.5,75.5,63.5,77.5,26.2,84.3,68.1
Harrison Barnes,SAS,78.3,48.1,54.8,43.3,24.3,27.2,55.0,70.5,72.5,84.0,16.8,28.3,53.6,46.0,74.6,70.6
Herbert Jones,NOP,60.8,41.4,17.9,59.7,66.7,41.1,65.1,67.2,58.7,80.6,80.0,97.4,34.9,76.3,74.6,72.1
Hugo González,BOS,30.4,3.6,74.3,94.3,40.7,38.4,5.8,45.4,20.4,42.3,89.4,28.3,85.8,22.8,66.7,29.2
Immanuel Quickley,TOR,87.3,79.1,37.8,58.9,9.4,54.2,97.0,75.1,90.2,60.4,15.9,89.6,71.7,60.4,21.6,43.7
Isaac Okoro,CHI,64.3,44.7,55.3,76.9,66.7,25.4,51.3,66.3,47.9,20.5,2.6,41.3,81.5,58.7,98.4,76.6
Isaiah Collier,UTA,57.7,57.8,51.7,6.0,40.7,20.4,98.4,19.7,15.1,2.9,12.8,79.9,26.6,28.3,56.1,1.5
Isaiah Hartenstein,OKC,33.1,43.3,86.2,99.2,83.9,96.3,75.4,73.5,2.8,24.7,77.4,73.1,75.9,91.4,56.1,97.4
Isaiah Jackson,LAC,21.2,24.6,89.4,48.5,87.3,73.8,2.1,92.2,2.8,95.8,20.9,41.3,63.6,35.2,21.6,78.0
Isaiah Joe,OKC,57.4,55.2,85.2,37.6,24.3,20.4,43.5,57.0,89.9,78.0,45.8,41.3,75.9,32.5,93.9,24.6
Isaiah Stewart,DET,43.9,49.1,90.5,99.5,97.8,68.5,4.2,14.7,25.4,16.9,11.2,3.8,11.6,26.2,21.6,90.9
Ivica Zubac,IND,53.4,71.7,79.1,96.8,83.9,98.1,25.3,76.2,2.8,38.6,20.1,8.7,13.0,51.3,21.6,97.9
Ja Morant,MEM,3.7,87.4,13.8,94.3,40.7,38.4,97.8,27.2,40.5,4.5,85.2,73.1,37.0,78.6,92.6,38.9
Ja'Kobe Walter,TOR,55.6,30.7,41.1,68.4,24.3,23.5,40.3,24.7,64.3,81.6,45.8,73.1,92.2,46.0,87.0,26.9
Jabari Smith Jr.,HOU,98.9,77.4,44.0,81.9,87.3,87.2,29.6,78.3,84.9,54.5,10.6,41.3,9.4,60.4,21.6,73.5
Jabari Walker,PHI,12.4,5.4,57.0,31.7,24.3,31.5,8.6,40.2,16.7,73.1,54.6,8.7,23.9,6.1,87.0,49.7
Jaden Hardy,WAS,19.8,43.3,15.9,33.9,9.4,3.4,3.4,79.1,73.3,76.9,87.2,3.8,48.3,10.3,84.3,24.6
Jaden Ivey,CHI,7.7,38.0,32.1,45.6,55.6,20.4,40.3,11.5,55.8,22.0,12.3,28.3,44.4,54.9,21.6,8.3
Jaden McDaniels,MIN,91.0,74.1,59.3,96.6,89.9,58.5,51.3,68.4,57.9,62.8,22.6,79.9,56.2,90.3,46.6,8.3
Jahmai Mashack,MEM,8.2,19.8,17.9,6.3,66.7,23.5,36.4,7.0,21.7,92.9,17.7,85.7,70.5,48.9,66.7,49.7
Jaime Jaquez Jr.,MIA,83.9,76.6,54.5,66.0,40.7,68.5,87.2,57.0,28.0,31.5,49.1,41.3,98.0,69.8,21.6,71.3
Jake LaRavia,LAL,82.0,35.3,59.5,43.3,66.7,54.2,40.3,65.7,36.5,53.0,12.3,89.6,72.8,76.3,56.1,63.1
Jakob Poeltl,TOR,34.1,53.3,97.4,31.7,79.1,88.4,46.7,61.0,2.8,35.6,25.4,63.5,75.9,58.7,74.6,96.0
Jalen Brunson,NYK,96.3,96.4,37.3,4.8,9.4,38.4,97.0,92.9,91.0,51.3,2.4,52.1,34.9,76.3,100.0,18.7
Jalen Duren,DET,78.0,87.4,92.6,61.5,83.9,97.9,10.8,95.2,2.8,38.6,36.9,52.1,20.5,96.8,21.6,98.3
Jalen Green,PHX,15.1,83.9,32.5,97.9,40.7,46.0,29.6,58.5,84.1,95.5,32.8,79.9,81.5,19.7,21.6,3.7
Jalen Johnson,ATL,95.5,93.7,44.4,39.9,55.6,97.4,97.8,83.9,68.0,61.8,31.6,85.7,44.4,54.9,66.7,71.3
Jalen Pickett,DEN,13.8,11.1,14.6,95.5,9.4,15.5,70.8,3.4,36.8,58.7,81.7,3.8,18.9,16.4,21.6,47.6
Jalen Smith,CHI,31.0,50.7,91.0,97.4,83.9,85.3,12.8,93.7,66.4,9.9,85.8,16.5,67.1,32.5,89.7,94.7
Jalen Suggs,ORL,60.3,70.0,53.4,24.3,79.1,51.9,87.7,59.0,83.6,49.9,92.9,98.4,33.6,94.7,93.9,29.2
Jalen Williams,OKC,23.0,81.7,33.5,71.2,40.7,63.1,92.3,64.8,24.3,32.5,39.8,85.7,67.1,72.4,21.6,54.4
Jalen Wilson,BKN,17.2,21.6,4.2,12.8,1.3,12.2,14.6,21.0,38.9,4.2,71.8,8.7,63.6,14.9,21.6,43.7
Jamal Murray,DEN,97.9,96.0,34.9,13.6,55.6,61.1,98.7,99.7,98.4,66.3,2.1,63.5,22.5,54.9,80.3,18.7
Jamal Shead,TOR,72.5,23.7,7.1,4.8,24.3,5.4,94.3,68.4,41.3,63.9,79.5,63.5,18.9,24.9,87.0,14.4
Jamaree Bouyea,PHX,6.6,15.5,42.9,71.8,40.7,7.4,56.5,6.6,16.4,89.4,98.1,28.3,69.2,22.8,21.6,5.0
James Harden,CLE,94.2,94.3,21.8,21.2,55.6,65.1,97.8,30.2,96.6,68.0,28.7,79.9,0.3,90.7,21.6,64.8
Jamir Watkins,WAS,28.3,29.4,86.9,46.6,66.7,51.9,29.6,53.4,35.8,13.9,91.0,79.9,61.0,35.2,89.7,22.9
Jamison Battle,TOR,0.3,1.1,79.1,91.8,1.3,3.4,10.8,32.4,20.0,20.5,91.5,0.3,56.2,2.8,56.1,20.8
Jarace Walker,IND,77.0,56.9,7.4,28.2,40.7,70.6,40.3,22.8,72.0,74.3,20.1,52.1,32.4,19.7,46.6,52.6
Jared McCain,OKC,35.2,36.0,5.8,62.7,9.4,10.6,29.6,49.2,60.3,28.4,82.1,16.5,73.9,48.9,80.3,3.7
Jaren Jackson Jr.,UTA,53.7,87.0,38.1,86.6,95.5,79.6,1.9,96.3,71.4,70.8,100.0,79.9,13.6,67.3,56.1,77.0
Jarred Vanderbilt,LAL,32.5,6.9,76.1,18.0,40.7,62.0,22.0,27.2,14.8,96.6,50.8,52.1,65.2,69.8,21.6,49.7
Jarrett Allen,CLE,57.9,76.6,92.1,86.6,83.9,94.2,29.6,79.1,5.8,54.5,44.7,73.1,26.6,90.3,74.6,91.4
Jase Richardson,ORL,4.2,6.9,53.8,39.9,1.3,1.9,36.4,33.2,18.3,92.1,46.7,8.7,95.1,26.2,66.7,8.3
Javon Small,MEM,15.3,47.2,31.0,69.3,24.3,33.7,84.9,51.5,61.6,85.6,44.7,52.1,79.1,38.5,21.6,6.7
Javonte Green,DET,53.2,25.7,78.3,87.4,40.7,27.2,12.8,15.2,47.4,33.6,80.7,85.7,32.4,86.6,21.6,45.8
Jaxson Hayes,LAL,39.4,30.7,99.2,31.7,83.9,56.6,22.0,46.4,2.8,79.8,60.7,8.7,2.6,12.7,56.1,73.5
Jay Huff,IND,66.1,46.4,95.2,82.9,99.3,54.2,36.4,33.2,59.3,94.4,83.5,16.5,33.6,14.9,46.6,89.8
Jaylen Brown,BOS,94.4,99.2,38.4,85.7,55.6,87.2,65.1,70.5,79.1,60.4,5.0,73.1,11.6,96.6,46.6,73.0
Jaylen Clark,MIN,19.3,4.1,40.1,92.9,9.4,7.4,17.6,33.9,15.6,89.0,77.4,41.3,39.2,14.9,21.6,14.4
Jaylen Wells,MEM,71.2,63.8,35.7,42.2,9.4,35.6,29.6,83.5,74.1,79.1,34.1,63.5,65.2,65.2,21.6,31.6
Jaylin Williams,OKC,42.1,27.4,44.8,81.9,73.8,76.3,63.5,26.7,62.7,93.5,78.4,16.5,3.7,14.9,98.9,86.5
Jaylon Tyson,CLE,69.0,65.7,40.7,77.2,55.6,70.6,43.5,50.4,80.2,47.4,36.1,52.1,84.3,67.3,21.6,73.5
Jayson Tatum,BOS,0.8,93.1,25.4,66.8,24.3,97.0,89.0,64.0,95.5,94.4,56.1,92.9,2.4,26.2,21.6,66.1
Jerami Grant,POR,64.6,85.6,26.2,18.0,73.8,43.5,5.8,86.2,87.0,49.9,8.3,41.3,33.6,76.3,74.6,60.8
Jeremiah Fears,NOP,83.3,72.9,14.8,8.7,55.6,48.0,58.1,47.5,51.6,34.7,13.2,85.7,73.9,43.3,46.6,31.6
Jericho Sims,MIL,44.4,9.5,99.7,22.4,40.7,76.3,29.6,41.3,2.8,83.6,12.8,3.8,48.3,30.6,21.6,93.5
Jett Howard,ORL,9.0,13.5,7.9,43.3,24.3,4.2,29.6,39.6,37.3,15.6,5.0,1.3,11.6,12.7,21.6,18.7
Jevon Carter,ORL,18.0,21.6,12.2,26.3,24.3,5.4,51.3,2.5,62.4,96.2,40.5,52.1,67.1,19.7,21.6,24.6
Jimmy Butler III,GSW,37.8,87.8,53.8,8.2,24.3,77.9,91.7,87.7,31.0,55.8,90.2,92.9,39.2,98.1,66.7,74.5
Jock Landale,ATL,57.1,52.9,63.0,54.2,66.7,79.6,45.5,26.2,43.9,9.1,16.4,16.5,31.5,28.3,46.6,96.4
Joel Embiid,PHI,38.9,97.6,50.0,69.3,93.8,91.7,52.8,95.8,57.7,90.5,50.8,28.3,0.8,67.3,66.7,92.1
John Collins,LAC,73.5,68.4,84.5,62.7,79.1,73.8,0.9,29.9,54.5,63.9,30.7,63.5,50.1,56.9,46.6,64.8
John Konchar,UTA,31.5,6.9,95.2,4.8,79.1,59.9,66.5,15.6,16.9,97.9,60.7,95.8,87.4,88.8,56.1,35.2
Johnny Furphy,IND,6.3,10.2,62.6,27.0,24.3,61.1,22.0,61.0,23.8,18.0,72.8,28.3,100.0,56.9,21.6,57.5
Jonas Valanciunas,DEN,18.3,40.1,81.2,80.7,73.8,70.6,8.6,7.9,8.7,1.3,31.6,1.3,5.6,7.5,21.6,92.5
Jonathan Isaac,ORL,0.5,0.3,65.7,97.6,73.8,20.4,10.8,4.2,9.0,97.0,95.0,8.7,44.4,0.5,21.6,55.7
Jonathan Kuminga,ATL,15.6,61.6,37.0,58.1,40.7,77.9,22.0,19.7,37.0,87.2,98.7,28.3,73.9,51.3,66.7,56.5
Jordan Clarkson,NYK,42.3,39.2,47.6,70.1,9.4,7.4,22.0,25.5,38.4,1.9,39.8,8.7,91.0,28.3,21.6,54.4
Jordan Goodwin,PHX,60.1,40.1,13.0,42.2,24.3,66.8,59.8,61.0,66.9,22.0,68.3,95.8,79.1,87.6,46.6,59.7
Jordan Hawkins,NOP,8.7,10.2,0.8,21.2,24.3,5.4,10.8,9.7,34.1,90.5,47.8,3.8,75.9,14.9,66.7,3.7
Jordan Miller,LAC,45.0,49.1,77.0,60.8,24.3,31.5,58.1,36.4,22.2,49.9,40.7,52.1,53.6,26.2,56.1,20.8
Jordan Poole,NOP,22.8,66.7,2.9,29.9,55.6,10.6,61.4,16.9,88.1,75.7,41.1,28.3,8.7,16.4,89.7,10.6
Jordan Walsh,BOS,39.7,12.2,83.1,93.1,66.7,54.2,17.6,39.9,24.6,28.4,17.7,41.3,51.5,14.9,21.6,58.9
Jose Alvarado,NYK,47.6,29.4,36.8,8.2,9.4,20.4,83.6,16.1,61.1,58.7,94.0,73.1,56.2,43.3,56.1,15.9
Josh Giddey,CHI,66.7,81.1,20.1,26.3,66.7,92.9,99.5,66.3,75.1,27.4,33.3,73.1,63.6,92.3,74.6,38.9
Josh Green,CHA,20.9,5.4,65.1,42.2,9.4,7.4,14.6,65.2,39.9,100.0,96.4,28.3,87.4,53.3,56.1,24.6
Josh Hart,NYK,79.1,60.1,72.4,12.4,40.7,89.9,89.0,59.7,64.8,55.8,17.2,79.9,32.4,97.8,80.3,57.5
Josh Minott,BKN,15.9,29.4,91.5,85.3,66.7,35.6,5.8,16.5,54.0,10.6,52.5,63.5,67.1,62.8,21.6,33.6
Josh Okogie,HOU,46.8,8.3,12.4,66.8,24.3,23.5,22.0,44.7,29.9,23.8,52.5,52.1,26.6,89.8,66.7,12.7
Jrue Holiday,POR,59.8,78.6,32.1,56.7,9.4,63.1,91.3,81.3,90.7,68.0,89.2,73.1,41.3,82.9,21.6,37.2
Julian Champagnie,SAS,89.2,55.2,76.6,56.7,66.7,81.3,40.3,95.2,86.8,33.6,60.7,52.1,51.5,72.4,21.6,67.2
Julian Strawther,DEN,17.5,27.4,47.1,9.0,9.4,10.6,29.6,8.9,39.4,2.1,66.5,8.7,69.2,19.7,56.1,0.8
Julius Randle,MIN,97.1,92.1,51.1,52.1,24.3,85.3,83.6,97.0,57.3,21.0,5.8,79.9,4.1,92.1,21.6,84.5
Justin Champagnie,WAS,48.9,40.1,80.2,29.0,73.8,77.9,29.6,67.2,28.3,70.8,54.0,63.5,61.0,60.4,21.6,31.6
Justin Edwards,PHI,25.4,18.8,53.0,12.2,24.3,3.4,43.5,30.8,42.6,4.0,29.2,52.1,48.3,17.6,56.1,20.8
Jusuf Nurkić,UTA,30.2,54.4,51.7,61.5,66.7,97.6,83.6,23.1,21.4,51.3,81.5,89.6,13.0,32.5,21.6,100.0
Kam Jones,IND,5.0,6.9,10.6,25.1,1.3,4.2,81.7,18.0,21.2,39.2,55.4,16.5,85.8,10.3,21.6,59.7
Karl-Anthony Towns,NYK,91.3,88.5,57.7,53.0,66.7,99.7,29.6,88.9,63.8,13.2,16.8,63.5,4.8,80.2,66.7,97.6
Karlo Matković,NOP,21.7,15.5,98.9,90.6,87.3,48.0,17.6,10.3,23.3,91.1,91.8,8.7,56.2,22.8,66.7,75.5
Kasparas Jakučionis,MIA,23.3,19.8,4.8,56.1,9.4,23.5,74.1,63.1,52.1,11.8,46.7,28.3,98.7,60.4,84.3,22.9
Kawhi Leonard,LAC,82.8,98.5,67.3,2.8,55.6,84.0,70.8,98.7,91.3,27.4,74.3,98.9,14.3,91.4,21.6,63.1
Keaton Wallace,ATL,1.6,1.9,10.2,7.5,9.4,1.3,61.4,0.8,25.9,43.5,60.7,16.5,89.8,22.8,21.6,33.6
Keegan Murray,SAC,13.5,71.0,34.4,56.1,97.8,79.6,29.6,24.3,56.1,64.9,62.6,73.1,53.6,81.3,74.6,74.5
Kel'el Ware,MIA,65.3,55.2,81.5,58.9,92.1,95.9,3.4,29.6,50.0,93.5,19.6,52.1,61.0,58.7,21.6,93.1
Keldon Johnson,SAS,75.4,65.7,77.8,66.0,9.4,75.1,29.6,37.6,51.1,70.8,54.6,28.3,44.4,56.9,46.6,79.8
Kelly Oubre Jr.,PHI,60.6,71.7,58.2,32.8,66.7,68.5,14.6,74.6,70.9,71.4,6.6,92.9,22.5,80.2,21.6,49.7
Kenrich Williams,OKC,16.7,22.8,46.0,23.9,9.4,38.4,33.9,13.0,33.3,2.6,9.0,28.3,15.2,7.5,93.9,62.2
Kentavious Caldwell-Pope,MEM,30.7,36.8,13.4,0.5,24.3,20.4,67.7,45.8,44.2,6.7,70.4,52.1,23.9,53.3,21.6,12.7
Keon Ellis,CLE,56.1,24.6,56.6,64.6,73.8,9.1,22.0,39.6,53.2,43.5,34.1,85.7,61.0,46.0,21.6,0.8
Kevin Durant,HOU,99.7,96.4,68.5,91.8,87.3,76.3,68.1,89.8,87.6,45.9,10.1,52.1,1.1,74.2,21.6,41.8
Kevin Huerter,DET,58.7,49.1,88.6,60.3,66.7,43.5,70.8,51.5,60.1,70.8,79.0,63.5,84.3,19.7,46.6,43.7
Kevin Love,UTA,4.8,24.6,4.8,6.7,24.3,81.3,52.8,82.5,58.5,95.0,22.0,8.7,10.3,74.2,89.7,93.9
Kevin Porter Jr.,MIL,41.8,82.9,39.4,75.3,66.7,72.4,97.8,52.1,51.9,16.9,65.6,100.0,79.1,99.9,21.6,37.2
Keyonte George,UTA,69.8,94.3,27.2,0.3,40.7,48.0,90.3,88.9,88.6,62.8,4.5,79.9,26.6,82.9,74.6,49.7
Khris Middleton,DAL,52.4,50.7,6.9,84.3,9.4,48.0,55.0,47.1,45.0,47.4,1.1,41.3,37.0,32.5,89.7,67.7
