name,team,pctile_min,pctile_ppg,pctile_fg2_pct,pctile_interior_def_fg_pct,pctile_blk,pctile_reb,pctile_ast_minus_tov,pctile_net_off_rating,pctile_fg3m,pctile_perimeter_def_fg_pct,pctile_net_def_rating,pctile_stl,pctile_avg_speed,pctile_loose_balls,pctile_charges,pctile_box_outs
Paul George,PHI,32.8,82.4,16.7,58.1,55.6,73.8,76.7,69.4,92.9,24.7,76.5,98.1,21.3,76.3,93.9,75.5
Paul Reed,DET,20.1,33.1,92.1,84.3,87.3,62.0,15.6,14.2,10.1,98.9,85.2,63.5,69.2,62.8,56.1,75.5
Payton Pritchard,BOS,96.0,81.1,55.0,21.2,9.4,51.9,93.0,84.8,92.1,35.6,10.6,41.3,29.6,82.9,66.7,54.4
Pelle Larsson,MIA,72.2,56.2,72.4,50.3,24.3,43.5,78.7,69.4,32.5,47.4,28.2,41.3,96.3,10.3,97.4,64.8
Pete Nance,MIL,11.6,12.2,85.2,44.6,40.7,25.4,22.0,59.7,43.4,26.1,47.4,3.8,29.6,8.7,21.6,45.0
Peyton Watson,DEN,61.1,73.5,41.9,49.5,92.1,66.8,25.3,88.2,61.4,73.1,15.9,63.5,44.4,89.8,84.3,22.9
Precious Achiuwa,SAC,67.2,49.9,62.6,63.9,79.1,85.3,29.6,81.0,13.2,80.6,65.6,63.5,23.9,69.8,74.6,79.8
Quentin Grimes,PHI,86.0,66.7,59.8,46.6,55.6,46.0,65.1,37.3,69.8,97.4,68.3,63.5,26.6,78.6,46.6,12.7
Quenton Jackson,IND,19.6,42.3,27.9,67.6,9.4,15.5,70.8,49.2,32.0,75.7,87.2,28.3,95.5,69.8,21.6,14.4
Quinten Post,GSW,34.9,32.4,79.1,81.1,66.7,54.2,33.9,48.3,56.9,94.4,82.1,8.7,72.8,24.9,21.6,81.0
RJ Barrett,TOR,66.4,86.8,64.8,42.2,40.7,73.8,70.8,96.0,69.3,55.8,10.6,41.3,46.2,69.8,80.3,56.5
Rasheer Fleming,PHX,8.5,5.4,46.0,98.1,55.6,15.5,2.6,43.5,31.2,91.5,92.1,8.7,71.7,3.6,21.6,20.8
Rayan Rupert,MEM,29.4,11.1,3.3,30.4,9.4,29.1,14.6,1.3,24.1,54.5,81.1,63.5,97.2,38.5,74.6,17.2
Reed Sheppard,HOU,84.9,67.5,18.8,45.6,79.1,29.1,76.7,61.0,94.2,58.7,25.4,95.8,26.6,81.3,21.6,15.9
Rob Dillingham,CHI,24.6,20.8,6.1,14.4,9.4,10.6,43.5,58.5,22.8,82.8,59.5,41.3,97.2,37.2,21.6,2.0
Robert Williams III,POR,27.2,24.6,98.7,98.9,96.4,88.4,12.8,34.9,9.5,90.5,92.5,28.3,16.4,12.7,21.6,80.6
Ronald Holland II,DET,59.3,35.3,46.0,65.2,40.7,54.2,5.8,5.0,23.0,35.6,84.3,85.7,53.6,72.4,66.7,10.6
Royce O'Neale,PHX,86.2,47.6,49.7,33.3,55.6,65.1,63.5,31.6,93.9,60.4,1.9,79.9,18.9,65.2,21.6,60.8
Rudy Gobert,MIN,93.1,54.4,96.8,92.3,97.8,99.1,17.6,26.2,2.8,47.4,95.8,52.1,37.0,24.9,46.6,99.2
Rui Hachimura,LAL,76.5,56.6,65.7,16.4,40.7,38.4,14.6,64.6,70.6,58.7,41.5,28.3,23.9,19.7,46.6,68.7
Russell Westbrook,SAC,72.8,75.7,23.9,8.2,24.3,75.1,92.1,55.6,79.6,57.1,7.5,89.6,4.8,94.7,21.6,10.6
Ryan Dunn,PHX,47.1,17.1,48.0,80.3,55.6,58.5,40.3,20.5,29.6,53.0,83.5,63.5,73.9,38.5,21.6,20.8
Ryan Kalkbrenner,CHA,56.3,31.7,99.5,89.2,96.4,76.3,4.0,7.4,2.8,75.7,54.6,16.5,48.3,30.6,66.7,99.5
Ryan Nembhard,DAL,35.7,23.7,8.5,70.6,1.3,13.4,93.4,73.5,30.7,66.3,64.2,8.7,48.3,62.8,74.6,12.7
Ryan Rollins,MIL,92.9,82.4,39.2,65.2,55.6,63.1,88.2,90.2,88.4,60.4,52.5,95.8,58.5,91.4,80.3,26.9
Saddiq Bey,NOP,87.8,83.6,35.2,13.6,9.4,77.9,70.8,73.5,83.1,75.7,36.1,63.5,18.9,78.6,46.6,66.1
Sam Hauser,BOS,76.7,43.3,71.6,61.5,40.7,49.7,56.5,76.9,90.5,41.1,33.6,16.5,92.2,32.5,21.6,70.1
Sam Merrill,CLE,48.4,64.8,82.8,15.6,9.4,23.5,70.8,84.1,96.3,64.9,52.5,28.3,83.1,38.5,84.3,43.7
Sandro Mamukelashvili,TOR,67.7,55.8,89.0,57.4,66.7,66.8,55.0,74.3,59.8,44.8,57.0,52.1,71.7,43.3,21.6,82.0
Santi Aldama,MEM,38.6,71.0,69.7,55.0,79.1,85.3,70.8,76.9,67.7,45.9,62.6,63.5,84.3,46.0,80.3,72.5
Scoot Henderson,POR,11.9,72.4,16.1,73.0,40.7,25.4,61.4,46.4,75.4,2.4,86.2,63.5,73.9,10.3,21.6,52.6
Scottie Barnes,TOR,98.4,84.1,55.6,58.5,96.4,90.7,91.7,87.0,31.7,58.7,43.5,92.9,41.3,85.6,46.6,88.5
Shaedon Sharpe,POR,55.0,90.9,25.7,3.2,9.4,59.9,1.6,52.5,82.3,48.7,26.7,92.9,39.2,82.9,56.1,54.4
Shai Gilgeous-Alexander,OKC,88.4,99.7,81.0,91.1,83.9,59.9,96.6,99.2,69.6,81.6,57.0,92.9,10.3,96.2,46.6,26.9
Sharife Cooper,WAS,9.5,34.5,72.8,3.7,9.4,12.2,66.5,43.5,27.0,16.9,51.3,8.7,65.2,35.2,96.8,0.8
Sidy Cissoko,POR,52.1,10.2,40.1,55.0,40.7,13.4,36.4,19.7,28.6,23.1,59.0,41.3,29.6,48.9,95.1,29.2
Simone Fontecchio,MIA,36.2,38.0,21.8,81.1,9.4,31.5,40.3,36.9,72.2,62.8,75.5,16.5,98.7,35.2,21.6,57.5
Sion James,CHA,71.7,12.2,4.8,81.9,24.3,43.5,58.1,10.8,40.9,39.9,73.4,28.3,58.5,10.3,46.6,52.6
Spencer Jones,DEN,51.3,13.5,96.0,48.5,66.7,38.4,17.6,13.6,34.4,81.6,42.5,52.1,43.1,69.8,84.3,64.8
Stephen Curry,GSW,45.2,97.1,74.9,63.9,55.6,46.0,77.5,93.4,100.0,19.6,29.2,79.9,41.3,98.7,87.0,38.9
Stephon Castle,SAS,81.0,80.2,48.4,59.7,40.7,73.8,95.2,68.4,50.8,26.1,52.5,79.9,37.0,84.4,46.6,37.2
Steven Adams,HOU,11.1,17.1,28.4,27.5,73.8,94.4,22.0,55.6,2.8,92.3,93.4,41.3,8.7,67.3,21.6,98.9
Svi Mykhailiuk,UTA,34.7,45.8,84.1,9.9,9.4,20.4,55.0,82.0,78.8,22.0,71.8,16.5,75.9,65.2,56.1,40.3
T.J. McConnell,IND,24.1,45.8,61.4,36.5,24.3,13.4,93.9,53.8,11.4,8.1,45.8,73.1,98.0,87.6,87.0,6.7
Tari Eason,HOU,59.0,52.5,6.6,23.9,66.7,83.6,10.8,51.5,65.1,30.4,60.7,85.7,15.2,95.5,21.6,45.8
Taurean Prince,MIL,4.5,43.3,41.1,19.7,24.3,33.7,36.4,71.0,86.2,3.2,47.8,28.3,10.3,0.3,21.6,40.3
Taylor Hendricks,MEM,32.0,29.4,73.3,55.0,66.7,48.0,8.6,4.8,43.7,7.1,28.2,52.1,53.6,12.7,56.1,35.2
Terance Mann,BKN,58.2,27.4,43.3,39.9,24.3,35.6,76.7,80.7,32.8,60.4,37.3,41.3,61.0,22.8,80.3,41.8
Terrence Shannon Jr.,MIN,1.9,14.6,23.9,50.3,1.3,1.3,17.6,23.1,27.5,79.8,0.5,3.8,48.3,2.0,80.3,33.6
Thomas Bryant,CLE,11.4,19.8,92.1,87.8,55.6,41.1,8.6,19.7,29.4,0.3,75.5,3.8,18.9,7.5,56.1,78.4
Tidjane Salaün,CHA,4.0,18.8,67.3,94.7,24.3,54.2,5.8,12.2,36.2,0.8,62.6,8.7,81.5,17.6,66.7,71.3
Tim Hardaway Jr.,DEN,84.1,67.5,67.9,2.1,9.4,23.5,49.2,43.5,94.4,64.9,37.6,16.5,4.1,5.0,91.5,29.2
Tobias Harris,DET,67.5,66.1,31.2,73.0,55.6,70.6,66.5,81.7,53.7,82.8,31.6,63.5,26.6,67.3,21.6,83.6
Toumani Camara,POR,99.2,66.7,64.3,25.1,55.6,70.6,40.3,93.9,91.8,72.1,14.6,79.9,92.2,65.2,98.4,70.4
Tre Johnson,WAS,52.9,61.6,15.6,26.3,40.7,27.2,22.0,50.4,77.5,73.1,49.5,28.3,61.0,12.7,21.6,17.2
Tre Jones,CHI,68.0,71.7,82.0,10.7,24.3,33.7,94.3,55.6,22.5,74.3,65.6,85.7,77.5,51.3,95.1,35.2
Tre Mann,CHA,7.4,13.5,3.8,7.5,9.4,5.4,36.4,0.5,35.2,0.5,14.9,16.5,61.0,30.6,21.6,8.3
Trendon Watford,PHI,17.7,22.8,66.7,27.5,55.6,38.4,61.4,5.8,9.8,12.7,25.4,3.8,33.6,38.5,21.6,22.9
Trey Murphy III,NOP,91.8,92.5,75.1,21.2,55.6,79.6,77.9,75.7,98.1,36.6,34.8,95.8,29.6,84.4,21.6,33.6
Tristan Vukcevic,WAS,7.9,42.1,71.6,53.0,79.1,31.5,2.6,9.7,39.7,18.0,69.7,16.5,21.3,19.7,56.1,67.2
Tristan da Silva,ORL,74.9,48.1,29.4,39.9,40.7,48.0,43.5,57.0,66.7,61.8,57.9,63.5,89.8,28.3,21.6,69.2
